"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",2.53256029495392e-14,-1.76235550567538,0.086,0.347,1.87915973885581e-11
"Keg1",1.1164014924349e-10,1.3166082781797,0.351,0.098,4.14184953693346e-08
"Xpo7",1.66532083501741e-07,0.988755442419832,0.455,0.236,4.11889353194305e-05
"Fyttd1",2.34284460089013e-06,0.717449974958091,0.534,0.347,0.00043459767346512
"Mrps27",3.90288936940609e-06,0.815056538208529,0.459,0.276,0.000490394964924815
"Atp2a3",3.96545793739743e-06,1.15868458089964,0.129,0.018,0.000490394964924815
"Scaf1",7.32814486760101e-06,0.788632567340146,0.351,0.169,0.000721729674680021
"Cep112",7.78145201811344e-06,0.923874299933045,0.391,0.218,0.000721729674680021
"Alpk2",9.58581555610727e-06,1.00452667142079,0.269,0.111,0.000790297238070177
"Ftl1",1.23037806593076e-05,-0.6722344263942,0.244,0.44,0.00086301267262781
"Fhad1",1.33623335209946e-05,0.878752006944471,0.369,0.204,0.00086301267262781
"Ass1",1.39570782635225e-05,-1.09959608286935,0.115,0.258,0.00086301267262781
"Rplp1",1.86619982203561e-05,-0.920079382822935,0.068,0.196,0.00106516943688494
"Casz1",2.38621837581004e-05,0.853619960681086,0.362,0.2,0.00125866991573983
"Gpx3",2.54448096173819e-05,-0.398359551303537,0.677,0.791,0.00125866991573983
