"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",1.33478466866415e-11,-1.51609353820087,0.175,0.481,1.39351519408537e-08
"Pik3r3",1.0173670668705e-07,1.17067832593903,0.429,0.206,5.31065608906403e-05
"Keg1",1.16448817833513e-06,1.00800079486921,0.424,0.206,0.000405241886060626
"Cep112",5.67420750559717e-06,0.837549121001084,0.429,0.215,0.00148096815896086
"Epha7",7.76538104722887e-06,1.00785605107489,0.22,0.065,0.00162141156266139
"Rhpn2",5.17272010539599e-05,0.934390987612034,0.277,0.112,0.00783046847890002
"Nkain2",5.250314114205e-05,-0.415708016280148,0.661,0.804,0.00783046847890002
"Lrrtm4",7.54384530121615e-05,-1.19674126446935,0.017,0.121,0.0093110097554666
"Caln1",8.02673254781603e-05,0.977487447735533,0.311,0.154,0.0093110097554666
"Chd9",0.000119239257278054,-0.414353721316885,0.701,0.86,0.0118690190264429
"Umod",0.000137533164119712,-0.782553497949506,0.226,0.388,0.0118690190264429
"Slc35f2",0.000138592549863775,0.669198059261714,0.475,0.308,0.0118690190264429
"Alpk2",0.000154286413040248,0.872990779520788,0.277,0.126,0.0118690190264429
"Actr3",0.000159163090392912,-1.00976004753272,0.023,0.126,0.0118690190264429
"Scaf1",0.000195866438065133,0.883481199864879,0.305,0.154,0.0136323040893333
