"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mrps27",2.63217753232427e-10,0.957505267533892,0.55,0.32,2.17417864169985e-07
"Spp1",1.57064861540481e-09,-1.03838041311185,0.242,0.471,6.48677878162188e-07
"Cep112",3.52189126699037e-08,0.864914709164491,0.476,0.271,9.69694062178016e-06
"Fyttd1",1.65610585542914e-07,0.643427970927264,0.636,0.45,3.41985859146117e-05
"Xxylt1",1.1366494635394e-06,0.923245641644059,0.257,0.103,0.000187774491376708
"Sfi1",1.43530545809465e-06,0.679827879377771,0.476,0.282,0.000187996617231984
"Xpo7",1.75151209219927e-06,0.635401447552838,0.539,0.364,0.000187996617231984
"Pik3r3",1.96540730514284e-06,0.756580773461451,0.483,0.323,0.000187996617231984
"Caln1",2.04838929187392e-06,0.747816333767914,0.338,0.168,0.000187996617231984
"Atp2a3",3.9373859489968e-06,0.857560972685442,0.167,0.048,0.000325228079387136
"Lmcd1",4.42275182040726e-06,-0.799405824851179,0.022,0.127,0.000332108454877854
"S100g",5.6538519403654e-06,-0.66479329757493,0.301,0.498,0.000389173475228485
"Slc35f2",6.53025005957706e-06,0.694753419979276,0.472,0.313,0.000414922042246973
"Lrrtm4",9.61616524408336e-06,-0.926146067318517,0.026,0.127,0.000567353749400918
"Rab39",1.11745499284731e-05,0.715243014678526,0.238,0.096,0.000615345216061251
