"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",6.83233997369375e-32,-1.11906547639596,0.268,0.531,2.28200155121371e-29
"Nkain2",1.24235639805588e-18,-0.473494286587705,0.713,0.851,2.07473518475332e-16
"Ass1",7.83428475819177e-18,-1.17077801188788,0.129,0.298,8.72217036412017e-16
"Mrps27",5.58923821197681e-15,0.742545980566804,0.492,0.329,4.66701390700064e-13
"Keg1",1.04595157295559e-13,0.831966827218212,0.35,0.205,6.98695650734331e-12
"Galnt10",1.45377646491752e-13,0.809812678964813,0.254,0.112,8.09268898804087e-12
"Rpl41",2.03240508173319e-13,-0.680386126294682,0.258,0.428,9.69747567569837e-12
"Cep112",4.14403086148819e-13,0.67134510819766,0.451,0.291,1.73013288467132e-11
"Shcbp1l",4.81361312687569e-11,0.82131331596691,0.148,0.052,1.78638531597387e-09
"Slc35f2",2.28923997642441e-10,0.569869902469165,0.482,0.342,7.64606152125753e-09
"Alpk2",6.92622552016499e-10,0.651996849280727,0.291,0.165,2.10305393066828e-08
"Mt1",8.1987172024824e-10,-0.731531543663087,0.155,0.273,2.28197628802427e-08
"Pik3r3",1.33958757180435e-09,0.581306711032447,0.481,0.361,3.44170960755888e-08
"Sfi1",6.65889090147975e-09,0.582039255908259,0.369,0.243,1.58862111506731e-07
"Xpo7",9.03791732227064e-09,0.473177832554715,0.485,0.356,2.01244292375893e-07
