"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",2.82079845216771e-32,-1.43622352964058,0.129,0.385,1.10575299324974e-29
"Galnt10",4.30280694845834e-18,1.09874308337811,0.271,0.098,8.43350161897836e-16
"Chd9",7.93524304516541e-14,-0.444964198673067,0.666,0.775,1.03687175790161e-11
"Nrxn3",9.82997574103696e-13,-1.04866066207313,0.107,0.242,9.63337622621622e-11
"S100g",1.79640052118924e-12,-0.63402043304412,0.312,0.483,1.40837800861236e-10
"Nkain2",2.8927791450221e-12,-0.386830997090748,0.708,0.825,1.88994904141444e-10
"Pik3r3",4.04068214332427e-12,0.613192879486864,0.555,0.417,2.26278200026159e-10
"Mrps27",5.34250659934819e-12,0.699926541777021,0.503,0.37,2.61782823368061e-10
"Caln1",1.12101205853399e-11,0.829927503404657,0.292,0.148,4.88263029939248e-10
"Mt1",5.78844288778953e-11,-0.62121824149936,0.239,0.395,2.2690696120135e-09
"Cep112",1.93186139456022e-10,0.703536224075701,0.44,0.315,6.88445151516007e-09
"Rhpn2",5.36174681908077e-10,0.668792744818288,0.348,0.207,1.6439831649548e-08
"Ier3",5.45198498581948e-10,-0.666590684068051,0.206,0.343,1.6439831649548e-08
"Rxrg",8.37556901285381e-10,0.72779688373513,0.298,0.171,2.34515932359907e-08
"Xpo7",1.32793128824292e-09,0.571138274644475,0.492,0.358,3.47032709994149e-08
