"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rbms3",1.15886301022393e-28,2.41150243959984,0.516,0.112,2.04655207605546e-25
"Tshz2",8.84157989954633e-23,2.09024510165769,0.5,0.126,7.80711505129941e-20
"Apela",4.99062350987219e-20,1.9336657522411,0.29,0.033,2.93781370614476e-17
"Dock10",7.66647284994392e-20,-2.4216449903188,0.065,0.531,3.38474776325024e-17
"Chst9",4.32663824983652e-19,2.11225160944556,0.306,0.045,1.52816862984226e-16
"Slc13a1",4.64280825994764e-17,-1.37482780637109,0.339,0.748,1.36653323117792e-14
"Shank2",1.29131371055962e-16,1.88251401408242,0.476,0.161,3.25780001835469e-14
"Tbc1d4",3.24351356623396e-16,1.80959661517879,0.444,0.138,7.16005619746146e-14
"Fry",3.66731184931419e-15,1.75439393889943,0.323,0.072,7.19608080654318e-13
"Scel",2.41000465984104e-14,1.5395773223236,0.185,0.017,4.25606822927927e-12
"Itgb6",1.16076471651547e-13,-1.31277700105068,0.194,0.585,1.86355499033302e-11
"Il34",7.17003267299474e-13,-1.40954323604299,0.194,0.566,1.05518980837573e-10
"Gm13247",2.37421154791254e-12,-1.47259155541385,0.185,0.525,3.22527507201042e-10
"Ptpn14",4.92621826723862e-12,1.4969338186383,0.331,0.101,6.21407247138814e-10
"Angpt2",1.13335287354267e-11,1.43951910447162,0.137,0.01,1.3343341164509e-09
