"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",1.86985473444756e-15,-1.49322936452304,0.137,0.457,1.92969008594989e-12
"Nkain2",4.20627379737925e-10,-0.660937671213382,0.609,0.81,2.17043727944769e-07
"Slc35f2",8.30726892909532e-09,1.03563755045247,0.411,0.194,2.85770051160879e-06
"S100g",1.35763907269366e-07,-0.754834803375408,0.294,0.512,3.50270880754964e-05
"Chd9",1.97136291738348e-07,-0.557501981460581,0.661,0.813,4.06889306147951e-05
"Mrps27",4.49440454715e-07,0.992013096990397,0.415,0.228,7.730375821098e-05
"Xxylt1",2.22862746762604e-06,1.05271345351324,0.19,0.059,0.000328563363798582
"Cox8a",2.83492684389433e-06,-0.81255608230759,0.234,0.422,0.000365705562862368
"Zswim5",1.0575396154079e-05,0.881665812350596,0.242,0.1,0.00121264542566772
"Usp54",1.62652881067143e-05,0.992043318378839,0.19,0.069,0.00167857773261292
"Mt1",2.16112765587722e-05,-0.8681100513975,0.121,0.263,0.0020275306735139
"Cox6a1",2.8626623375262e-05,-0.753350943774697,0.149,0.301,0.00236429685348102
"Keg1",2.97828092008268e-05,0.704955937986374,0.448,0.298,0.00236429685348102
"Dst",3.9382720618192e-05,-0.671369264610028,0.125,0.27,0.00290306911985529
"Epha7",5.30214163333138e-05,0.935347699799944,0.202,0.087,0.00364787344373199
