"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",3.55227721256392e-13,-1.45659570548372,0.171,0.465,3.36045424308547e-10
"Caln1",1.93602642515402e-07,1.0830893308824,0.308,0.125,9.15740499097849e-05
"Nkain2",4.56203330584226e-05,-0.425666628330535,0.658,0.813,0.0143856116910892
"Fyttd1",0.000116676715830575,0.649361842225125,0.5,0.352,0.0157805733198165
"Atp2a3",0.000119332594624623,1.09085319850573,0.132,0.04,0.0157805733198165
"Mif",0.000147432776819442,-0.926739440906077,0.026,0.114,0.0157805733198165
"Mrps27",0.000151680322587467,0.832056550902284,0.372,0.238,0.0157805733198165
"Grm7",0.000157450068236257,0.650352000392151,0.504,0.355,0.0157805733198165
"Klhl1",0.000162843469461337,0.7420653547159,0.128,0.037,0.0157805733198165
"Alpk2",0.000166813671456834,0.905702500763355,0.235,0.114,0.0157805733198165
"a",0.000220023792124424,0.843685611893827,0.111,0.029,0.0173906034584072
"Fchsd2",0.000220599621036878,-0.431084777169386,0.338,0.516,0.0173906034584072
"Chd9",0.00026741116963545,-0.376028548488144,0.679,0.791,0.019459305113472
"Keg1",0.000306251232439126,0.811765132911252,0.329,0.205,0.0199157862899927
"Acaca",0.000315789423202844,0.866756468473251,0.218,0.106,0.0199157862899927
