"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Chd9",6.02550973915452e-106,-0.542412390427355,0.888,0.972,1.83778047044213e-103
"Spp1",3.16093169867782e-66,-1.15296598042504,0.161,0.415,4.82042084048368e-64
"Itgb6",6.92351394687664e-60,1.11738956347147,0.38,0.147,7.03890584599125e-58
"Nkain2",9.48939513189726e-34,-0.390553739105296,0.718,0.843,7.23566378807166e-32
"Pik3r3",4.78530223223874e-33,0.842108039998268,0.364,0.197,2.91903436166563e-31
"Mrps27",1.57416071395088e-32,0.83798263488277,0.413,0.253,8.0019836292503e-31
"Keg1",6.26483292262894e-30,0.457964272549264,0.753,0.723,2.72967720200261e-28
"Slc35f2",1.09336490114343e-29,0.709983296769034,0.392,0.223,4.16845368560933e-28
"P3h2",1.34193156899237e-29,0.55659022505075,0.632,0.489,4.54765698380748e-28
"Caln1",2.67808799950502e-29,0.732931754045251,0.352,0.189,8.1681683984903e-28
"Cep112",6.91291026485662e-29,0.741813028338403,0.388,0.225,1.91676148252843e-27
"Zbtb16",1.01911169333648e-28,-0.764023031772832,0.125,0.272,2.59024222056356e-27
"S100g",5.34186215098812e-28,-0.615012078574379,0.311,0.486,1.25328304311644e-26
"Alpk2",2.88996701792179e-27,0.793114165895124,0.252,0.116,6.29599957475819e-26
"Fkbp5",1.67739522919716e-26,-0.512322337576958,0.43,0.592,3.41070363270088e-25
