"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Thsd7a",0.000613482043904309,1.29437123953234,1,0.739,0.422418656452147
"Btaf1",0.000613741596442345,-2.78603196859553,0,0.522,0.422418656452147
"Synpo",0.000938523939907443,1.51734735097117,0.882,0.391,0.422418656452147
"Maml3",0.00174230602315427,1.70660001377486,0.706,0.261,0.422418656452147
"Gprasp1",0.0025576253923024,2.23688925337421,0.353,0,0.422418656452147
"Atad2b",0.0025576253923024,2.66380710978186,0.353,0,0.422418656452147
"Rps19",0.00446101464140482,-2.51270944709725,0,0.391,0.422418656452147
"Col18a1",0.00446101464140482,-2.23251426249485,0,0.391,0.422418656452147
"Wdr89",0.00520236196783615,-1.86728375119044,0.059,0.522,0.422418656452147
"Rps5",0.00565100530563013,-1.90815366430047,0.059,0.478,0.422418656452147
"Tcf21",0.00612415909987635,1.916131711132,0.412,0.043,0.422418656452147
"Bcar3",0.00664979902360354,2.16512179218625,0.294,0,0.422418656452147
"Egfr",0.00664979902360354,2.35231620896573,0.294,0,0.422418656452147
"Foxn3",0.00664979902360354,2.5919968081806,0.294,0,0.422418656452147
"Dennd1a",0.00719136882338313,-1.90382501279677,0.176,0.565,0.422418656452147
