"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Foxc1",3.98029945850753e-09,1.62378262019643,0.214,0.005,3.29413333326061e-06
"Prss40",4.43863548819998e-09,1.39683378765926,0.214,0.005,3.29413333326061e-06
"Agbl2",4.94817688277854e-09,1.45215195317313,0.214,0.005,3.29413333326061e-06
"Scel",4.94817688277854e-09,1.41019126999256,0.214,0.005,3.29413333326061e-06
"Snrk",7.49532505001199e-09,2.0270970803362,0.429,0.041,3.29413333326061e-06
"Far2os2",1.79373051458778e-08,1.13490774233405,0.143,0,3.29413333326061e-06
"Pgpep1l",1.79373051458778e-08,1.07147864413515,0.143,0,3.29413333326061e-06
"Slc28a1",1.79373051458778e-08,0.843866216161607,0.143,0,3.29413333326061e-06
"Tmem221",1.79373051458778e-08,1.14077733597192,0.143,0,3.29413333326061e-06
"Gm10644",1.79373051458778e-08,1.02198149162424,0.143,0,3.29413333326061e-06
"Ndrg4",1.79373051458778e-08,1.23231142282079,0.143,0,3.29413333326061e-06
"Ces2h",1.79373051458778e-08,1.04386605528082,0.143,0,3.29413333326061e-06
"Dpep2",1.79373051458778e-08,1.0086478897441,0.143,0,3.29413333326061e-06
"Tbcc",1.79373051458778e-08,1.10787349801621,0.143,0,3.29413333326061e-06
"Catsperd",1.79373051458778e-08,1.17930045076573,0.143,0,3.29413333326061e-06
