"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",1.3705017855961e-50,-1.33224127671176,0.222,0.528,5.19420176740921e-48
"Nkain2",1.33184937914205e-33,-0.593604068585362,0.657,0.849,2.52385457347419e-31
"Mrps27",3.64455064494892e-31,1.01706584162478,0.522,0.295,4.60428231478547e-29
"Cep112",4.74159733858768e-28,0.995223940024118,0.492,0.271,4.49266347831183e-26
"Chd9",5.96033174058993e-26,-0.525190846443161,0.673,0.821,4.51793145936717e-24
"Pik3r3",1.24691084816015e-22,0.911656518878009,0.468,0.28,7.87632019087826e-21
"Caln1",9.84817382031396e-22,1.03030800248025,0.323,0.139,5.33208268271284e-20
"Fyttd1",6.57489689459505e-21,0.667189839113197,0.592,0.41,3.11485740381441e-19
"Slc35f2",2.67242356152228e-19,0.802167665527377,0.462,0.28,1.12538725535216e-17
"Galnt10",3.61347004250943e-18,1.00676442103451,0.245,0.095,1.36950514611107e-16
"Alpk2",1.23768433896588e-16,0.862854521211387,0.315,0.157,4.26438513152788e-15
"Gpx3",1.64085982002612e-15,-0.379099395583462,0.67,0.813,5.18238226491583e-14
"S100g",5.1637862172762e-15,-0.690264053802062,0.287,0.442,1.50544228949822e-13
"Epha7",7.60969089869003e-15,0.896722388867742,0.22,0.092,2.06005203614537e-13
"Casz1",1.80330828814682e-14,0.800327364400271,0.324,0.177,4.55635894138431e-13
